T,P,TC,SV,Idx
253.15,17.7,0.027409187,397.4176689,53.27193846
253.15,17.7,0.02684261,384.2144617,54.22794352
253.15,17.7,0.027127699,388.4196437,54.01574697
253.15,17.7,0.026716115,388.2602787,54.08424751
253.15,17.7,0.027114968,393.9381119,53.73945997
253.15,17.7,0.027138103,389.0279168,53.9351115
253.15,17.7,0.027152188,395.3624123,53.72652099
253.15,17.7,0.027204475,394.2265267,53.57835184
253.15,17.7,0.026962003,390.6563298,54.06515518
253.15,17.7,0.026936631,387.3878714,54.19051299
253.15,17.7,0.027125505,388.0656106,53.93333034
253.15,17.7,0.02723435,395.1269422,53.64988461
253.15,17.7,0.026766186,392.0417427,54.07204413
253.15,17.7,0.027090548,392.5140355,53.95489035
253.15,17.7,0.026972289,387.1446718,54.16534884
253.15,17.7,0.026748487,384.4632879,54.35531755
253.15,17.7,0.027189711,389.1013662,53.82365525
253.15,17.7,0.027272656,387.3324696,54.13564606
253.15,17.7,0.026932862,391.824791,53.7956145
253.15,17.7,0.026542115,385.050244,54.18685959
253.15,17.7,0.027317874,393.7156737,53.5593869
253.15,17.7,0.026776407,385.3668803,54.23060393
253.15,17.7,0.027305737,392.7806003,53.76246204
253.15,17.7,0.026912241,388.2037139,54.02603063
253.15,17.7,0.026749644,387.755993,54.00045542
253.15,17.7,0.027374694,387.2426037,53.97770213
253.15,17.7,0.027195262,390.4584202,53.81344901
253.15,17.7,0.027329132,387.6640337,54.06526255
253.15,17.7,0.027322258,392.5368979,53.76065116
253.15,17.7,0.026860999,387.4966226,54.09482708
253.15,17.7,0.02727635,396.1296351,53.45423793
253.15,17.7,0.026927067,392.12702,53.82905816
253.15,17.7,0.026852531,387.05468,54.21126025
253.15,17.7,0.027049412,387.356297,54.1930293
253.15,17.7,0.026649343,385.2859357,54.16982695
253.15,17.7,0.026878646,384.1517559,54.22273384
253.15,17.7,0.027231834,395.3323467,53.45302583
253.15,17.7,0.026965742,385.2713341,54.21844584
